N,M,Precision,Recall,F1,Accuracy,Time,Features
15,0,0.8944458495624462,0.9591232323889802,0.9256561331138152,0.8700577206078582,29.106178998947144,"['first_response_time', 'account_creation_days', 'contrib_perc_commit', 'team_size', 'open_issue_num', 'project_age', 'open_pr_num', 'pr_succ_rate', 'stars', 'description_length', 'lifetime_minutes', 'ci_latency', 'ci_failed_perc', 'commits_on_files_touched', 'num_comments', 'merged_or_not']"
14,1,0.8940072822898756,0.9588954160089824,0.9253151670116907,0.8694446774279636,28.33071994781494,"['first_response_time', 'account_creation_days', 'contrib_perc_commit', 'team_size', 'open_issue_num', 'project_age', 'open_pr_num', 'pr_succ_rate', 'stars', 'description_length', 'lifetime_minutes', 'ci_latency', 'ci_failed_perc', 'commits_on_files_touched', 'first_pr', 'merged_or_not']"
13,2,0.8902146971431253,0.9604304644742052,0.9239905442615879,0.8667256326773365,26.47383689880371,"['first_response_time', 'account_creation_days', 'contrib_perc_commit', 'team_size', 'project_age', 'open_pr_num', 'pr_succ_rate', 'stars', 'description_length', 'lifetime_minutes', 'ci_latency', 'ci_failed_perc', 'commits_on_files_touched', 'first_pr', 'has_comments', 'merged_or_not']"
12,3,0.8896294201038045,0.9610343586878499,0.923954366014049,0.8665731343738801,25.176756143569946,"['first_response_time', 'account_creation_days', 'contrib_perc_commit', 'team_size', 'open_pr_num', 'pr_succ_rate', 'stars', 'description_length', 'lifetime_minutes', 'ci_latency', 'ci_failed_perc', 'commits_on_files_touched', 'first_pr', 'reopen_or_not', 'has_comments', 'merged_or_not']"
11,4,0.8897115566499659,0.9609783086261044,0.923972755151001,0.8666158338988479,25.16636085510254,"['first_response_time', 'account_creation_days', 'contrib_perc_commit', 'team_size', 'open_pr_num', 'pr_succ_rate', 'stars', 'description_length', 'lifetime_minutes', 'ci_latency', 'commits_on_files_touched', 'first_pr', 'ci_exists', 'reopen_or_not', 'has_comments', 'merged_or_not']"
10,5,0.8896031157332137,0.9606166953245208,0.9237471138064373,0.8662376381062761,25.340298891067505,"['first_response_time', 'account_creation_days', 'contrib_perc_commit', 'team_size', 'open_pr_num', 'pr_succ_rate', 'stars', 'description_length', 'lifetime_minutes', 'commits_on_files_touched', 'first_pr', 'comment_conflict', 'ci_exists', 'reopen_or_not', 'has_comments', 'merged_or_not']"
9,6,0.8906078440904466,0.960613079191505,0.9242868127776985,0.8672624267055029,23.729443073272705,"['first_response_time', 'account_creation_days', 'contrib_perc_commit', 'team_size', 'open_pr_num', 'pr_succ_rate', 'stars', 'description_length', 'lifetime_minutes', 'first_pr', 'test_inclusion', 'comment_conflict', 'ci_exists', 'reopen_or_not', 'has_comments', 'merged_or_not']"
8,7,0.8893866714936495,0.9594486843604055,0.9230901704149608,0.8651533751687013,22.403669118881226,"['first_response_time', 'account_creation_days', 'contrib_perc_commit', 'team_size', 'pr_succ_rate', 'stars', 'description_length', 'lifetime_minutes', 'first_pr', 'test_inclusion', 'comment_conflict', 'hash_tag', 'ci_exists', 'reopen_or_not', 'has_comments', 'merged_or_not']"
7,8,0.8886205203072699,0.9585627317715255,0.9222674712921615,0.8637153161671076,21.29501175880432,"['first_response_time', 'account_creation_days', 'contrib_perc_commit', 'pr_succ_rate', 'stars', 'description_length', 'lifetime_minutes', 'first_pr', 'test_inclusion', 'comment_conflict', 'hash_tag', 'ci_exists', 'reopen_or_not', 'has_comments', 'other_comment', 'merged_or_not']"
6,9,0.885079697502438,0.9566859587363061,0.9194908332609262,0.8586981219833929,18.942757844924927,"['first_response_time', 'account_creation_days', 'contrib_perc_commit', 'pr_succ_rate', 'description_length', 'lifetime_minutes', 'first_pr', 'test_inclusion', 'comment_conflict', 'hash_tag', 'ci_exists', 'friday_effect', 'reopen_or_not', 'has_comments', 'other_comment', 'merged_or_not']"
5,10,0.8833749429365957,0.9551563344706072,0.9178643657870412,0.8558189540141365,17.079138040542603,"['first_response_time', 'account_creation_days', 'contrib_perc_commit', 'pr_succ_rate', 'lifetime_minutes', 'first_pr', 'test_inclusion', 'comment_conflict', 'hash_tag', 'ci_exists', 'friday_effect', 'reopen_or_not', 'has_comments', 'other_comment', 'merged_or_not']"
